product_id,name,category,price,stock_quantity
1,Elderberry Syrup,Food - Supplements,49,37
2,Crafting Kit,Art Supplies,40,94
3,Golf Polo Shirt,Clothing - Tops,38,67
4,Travel Yoga Mat,Fitness,51,89
5,Classic Cheeseburger Mix,Food - Meats,3,47
6,Waterproof Rain Boots,Clothing - Footwear,18,67
7,Tomato Sauce,Food - Canned Goods,18,66
8,Rechargeable Electric Screwdriver,Tools,87,4
9,Aeropress Coffee Maker,Kitchen,76,18
10,Dark Chocolate Raisins,Food - Snacks,43,88
11,Roasted Vegetable Medley,Food - Frozen Foods,20,70
12,Bamboo Cutting Board Set,Kitchen,47,39
13,Watering Can with Nozzle,Garden,16,71
14,Beef Chili,Food - Canned Goods,63,37
15,Almond Butter,Food - Condiments,41,15
16,Lentil Vegetable Curry,Food - Prepared Meals,17,90
17,Voice-Controlled Speaker,Audio,23,97
18,Foldable Picnic Table,Outdoor,41,99
19,Portable Charcoal Grill,Outdoor,36,57
20,Savory Quinoa Pudding,Food - Sides,52,60
21,Interchangeable Watch Bands,Accessories,6,4
22,Crispy Chickpeas,Food - Snacks,54,24
23,Compact Refrigerator,Home Appliances,7,85
24,Vegetable Lasagna,Food - Frozen Foods,37,22
25,Portable Air Conditioner,Home Appliances,47,6
26,Phone Case,Accessories,16,68
27,Canned Sardines,Food - Seafood,60,21
28,BBQ Jackfruit,Food - Prepared Foods,29,79
29,Electric Griddle with Removable Plates,Kitchen,68,52
30,Pumpkin Spice Pancake Mix,Food - Breakfast,81,29
31,Chocolate Mint Thins,Food - Snacks,75,57
32,Classic Caesar Salad Kit,Food - Salads,38,77
33,Rechargeable Battery Organizer,Home,22,97
34,Frozen Chicken Nuggets,Food - Frozen Foods,65,83
35,Self-Adhesive Wallpaper,Home,14,13
36,Rechargeable Hand Warmer,Accessories,55,19
37,Black Bean Soup,Food - Soups,45,15
38,Mediterranean Flatbread,Food - Bakery,56,96
39,Tomato Basil Pasta Sauce,Food - Sauces,76,44
40,Coconut Cream Pie Mix,Food - Baking,31,46
41,Portable Air Compressor,Automotive,85,97
42,Foot Spa Bath Massager,Health,26,2
43,Sweet and Sour Sauce,Food - Condiments,78,84
44,Belted Trench Coat,Clothing - Outerwear,73,2
45,Acoustic Guitar,Music,31,19
46,Matcha Green Tea Powder,Food - Beverages,58,20
47,Electric Screwdriver,Tools,10,19
48,Eco-Friendly Beeswax Wraps,Kitchen,79,84
49,Crispy Tofu Bites,Food - Protein,51,91
50,Spinach and Cheese Stuffed Shells,Food - Frozen Meals,13,52
51,Spaghetti Squash,Food - Produce,63,19
52,Sesame Seeds,Food - Baking,30,51
53,Interchangeable Watch Bands,Accessories,84,96
54,Mushrooms,Food - Produce,11,11
55,Homestyle Chicken Noodle Soup,Food - Canned Goods,12,74
56,Interactive Plush Toy,Toys,79,14
57,Couscous,Food - Grains,65,47
58,Feta Cheese,Food - Dairy,41,62
59,Watering Can with Nozzle,Garden,13,59
60,Whole Wheat Pasta,Food - Grains,97,45
61,Essential Oil Diffuser,Health,11,70
62,Spicy BBQ Sauce,Food - Condiments,52,17
63,Electric Can Opener,Kitchen,18,37
64,Vanilla Ice Cream,Food - Frozen Foods,91,66
65,Coffee Grinder,Kitchen,40,26
66,Set of Silicone Cooking Utensils,Kitchen,31,93
67,Personalized Keychain,Accessories,6,8
68,Coconut Cream Pie,Food - Bakery,16,64
69,Chocolate Fudge Ice Cream,Food - Frozen Desserts,91,6
70,Teriyaki Sauce,Food - Condiments,54,9
71,Gardening Kneeler and Seat,Garden,40,99
72,Vegan Caesar Dressing,Food - Condiments,73,29
73,Floral Wrap Top,Clothing - Tops,51,17
74,Floral Summer Dress,Clothing - Dresses,47,20
75,Self-Adhesive Wallpaper,Home,90,35
76,Fresh Cilantro,Food - Produce,90,45
77,Kids' Gardening Kit,Toys,14,49
78,Chocolate Raspberry Tart,Food - Bakery,32,66
79,Fitness Resistance Bands,Fitness,42,6
80,Herbed Goat Cheese,Food - Cheese,1,9
81,Beard Grooming Kit,Grooming,92,58
82,Deep Tissue Massage Gun,Health,70,74
83,Garlic and Herb Cream Cheese,Food - Dairy,36,8
84,Electric Griddle,Kitchen,71,91
85,Sweet Potato Chips,Food - Snacks,68,43
86,Mixed Nuts,Food - Snacks,36,58
87,Adjustable Yoga Mat Strap,Fitness,76,17
88,Board Game Storage,Toys,89,67
89,Coconut Oil Spray,Food - Cooking Oils,85,1
90,Cable Knit Cardigan,Clothing - Outerwear,16,58
91,Crispy Kale Chips,Food - Snacks,31,16
92,Weighted Blanket,Health,68,81
93,Foot Spa Bath Massager,Health,86,3
94,Lentils,Food - Grains,5,34
95,Garlic Butter Sauce,Food - Condiments,20,38
96,Savory Breakfast Sausage,Food - Meats,13,67
97,Rustic Wooden Picture Frame,Home,100,29
98,Sweet BBQ Dipping Sauce,Food - Condiments,73,58
99,Carrot Ginger Soup,Food - Soups,60,37
100,Baking Soda,Food - Baking,83,86
101,Coconut Bowls Set,Kitchen,68,58
102,Vegetable Fried Rice Mix,Food - Frozen Food,35,87
103,Winter Insulated Jacket,Clothing,11,4
104,Puffer Winter Coat,Clothing - Outerwear,51,6
105,Sliced Avocado,Food - Produce,53,56
106,Travel Shoe Bags Set,Travel,93,29
107,Cinnamon Sugar Popcorn,Food - Snacks,20,87
108,Vegetarian Stir Fry Sauce,Food - Condiments,59,89
109,Over-the-Door Hooks,Home,82,75
110,Professional Chef Knife,Kitchen,58,27
111,Savory Rice Cakes,Food - Snacks,30,1
112,Outdoor Fire Pit,Outdoor,51,31
113,Chickpea Salad,Food - Prepared Foods,96,87
114,Travel Eye Mask with Ear Plugs,Travel,96,18
115,Pumpkin Spice Granola,Food - Breakfast,39,75
116,Kale Salad with Lemon Dressing,Food - Salads,21,15
117,Smartwatch,Wearable Tech,22,19
118,Sweet Cherry Tomatoes,Food - Produce,2,83
119,Telescope,Outdoor,76,98
120,LED Camping Lantern with USB Charging,Outdoor,5,86
121,Plant-Based Meal Prep Containers,Kitchen,67,61
122,Nature Explorer Lens Kit,Toys,20,46
123,Lemon Sorbet,Food - Frozen Desserts,34,5
124,Peach Yogurt,Food - Dairy,16,89
125,Granulated Sugar,Food - Baking,69,90
126,Beef Taco Skillet,Food - Meal Kits,6,30
127,Rainbow Veggie Chips,Food - Snacks,93,57
128,Striped Long Sleeve Shirt,Clothing - Shirts,52,5
129,Baked Falafel Balls,Food - Frozen Vegetables,22,9
130,Oven Mitts with Pocket,Kitchen,2,45
131,Herbed Couscous,Food - Grains,67,71
132,Foldable Picnic Table,Outdoor,68,68
133,Karaoke Microphone,Music,97,17
134,Sweetened Condensed Milk,Food - Baking Goods,24,70
135,Pork Chops,Food - Meat,72,42
136,Electric Heat Press Machine,Crafts,64,4
137,Portable Laptop Table,Office,37,39
138,Aeropress Coffee Maker,Kitchen,83,88
139,Cranberry Lime Sparkling Water,Food - Beverages,25,72
140,Adjustable Garden Rake,Garden,38,56
141,Spinach and Cheese Stuffed Shells,Food - Frozen Meals,90,74
142,Italian Pasta,Food - Grains,24,45
143,Coconut Chia Seed Pudding,Food - Snacks,73,60
144,Camera Tripod,Photography,51,52
145,Compact Refrigerator,Home Appliances,97,9
146,Honey Graham Crackers,Food - Snacks,55,60
147,Almond Flour Tortillas,Food - Baking & Cooking,11,54
148,Asian Stir-Fry Kit,Food - Frozen Meals,61,10
149,Eco-Friendly Stainless Steel Straws,Kitchen,51,20
150,Nordic Berry Smoothie,Food - Frozen Foods,56,87
151,First Aid Kit,Health,81,67
152,Ceramic Planter Set,Home,78,4
153,Wall-Mounted Bookshelf,Home,68,26
154,Sweet Cherry Tomatoes,Food - Produce,3,13
155,Organic Whole Grain Oats,Food - Breakfast,74,40
156,Pet Bed,Pets,63,32
157,Sunflower Seeds,Food - Nuts,7,41
158,Fruit and Nut Energy Bites,Food - Snacks,94,33
159,Karaoke Microphone,Music,88,43
160,Beef Stroganoff Mix,Food - Meal Kits,17,67
161,Cream Cheese,Food - Dairy,64,4
162,Peach Mango Smoothie Mix,Food - Beverages,99,43
163,Pesto Pasta Sauce,Food - Sauces,11,20
164,Over-the-Door Hooks,Home,1,65
165,Wireless Car Charger,Automotive,44,32
166,Beef Taco Skillet,Food - Meal Kits,60,8
167,Chunky Knit Sweater,Clothing - Tops,73,49
168,Sweet and Spicy Barbecue Sauce,Food - Condiments,63,96
169,Comfort Flats,Clothing - Shoes,60,32
170,Non-Stick Grill Pan,Kitchen,4,58
171,Self-Cleaning Water Bottle,Fitness,92,72
172,Smartphone Camera Lens Kit,Photography,64,47
173,Wireless Range Extender,Electronics,4,61
174,Pet Hair Removal Brush,Pets,27,89
175,Sesame Oil,Food - Oils & Vinegars,65,95
176,Lemon Herb Chicken,Food - Meat,83,77
177,Homemade Salsa,Food - Condiments,94,74
178,Sweet Potatoes (organic),Food - Vegetables,99,38
179,Electric Butter Churn,Kitchen,6,86
180,Zesty Cilantro Lime Dressing,Food - Condiments,59,54
181,Shoe Organizer,Home,92,43
182,Kale and Quinoa Salad,Food - Salads,62,13
183,Coffee Maker,Kitchen,24,48
184,Mini Indoor Hydroponic Garden,Garden,96,18
185,Basmati Rice,Food - Grains,31,90
186,Organic Quinoa Salad,Food - Prepared Meals,92,53
187,Raspberry Tart,Food - Baked Goods,58,22
188,Almond Butter Cookies,Food - Snacks,95,1
189,Spicy Garlic Edamame,Food - Snacks,39,3
190,Pepper Jack Cheese Sticks,Food - Snacks,42,50
191,Electric Opener for Jars and Bottles,Kitchen,87,11
192,Pleated Midi Dress,Clothing - Dresses,56,66
193,Asian Stir-Fry Vegetables,Food - Frozen Foods,34,55
194,Foldable Yoga Mat,Fitness,24,59
195,Samoas Cookie Mix,Food - Baking,96,11
196,Sweet Potato Tots,Food - Frozen Foods,90,5
197,Organic Almonds,Food - Nuts,67,45
198,Vintage Graphic Tee,Clothing - Tops,97,80
199,Hibiscus Tea Bags,Food - Beverages,4,15
200,Cacao Powder,Food - Baking,74,32
201,Snap-On Tupperware Set,Kitchen,99,99
202,Indestructible Dog Toy,Pets,4,64
203,Vegan Chocolate Cake Mix,Food - Baking,100,77
204,Gardening Tools Set,Garden,65,20
205,Electric Screwdriver,Tools,42,45
206,Organic Baby Spinach,Food - Produce,77,44
207,Frozen Berry Blend,Food - Frozen Foods,22,13
208,Active Racerback Tank,Clothing - Tops,76,34
209,Ceramic Cookware Set,Kitchen,15,83
210,Interactive Robot Toy,Toys,12,56
211,Pet Grooming Brush,Pets,36,84
212,Peanut Butter Cookies,Food - Bakery,45,97
213,Wireless Mouse,Electronics,85,70
214,Pumpkin Ice Cream,Food - Frozen Foods,51,98
215,Mint Chocolate Chip Ice Cream,Food - Frozen Desserts,90,55
216,Fitness Tracker Watch,Wearable Tech,41,40
217,Pineapple Salsa,Food - Condiments,57,66
218,Outdoor Camping Hammock,Outdoor,4,1
219,Pumpkin Pie Spice,Food - Baking,39,18
220,Travel Shoe Bags Set,Travel,98,78
221,Tabletop Fire Pit,Outdoor,66,39
222,Adjustable Dumbbells,Fitness,52,59
223,Ground Cinnamon,Food - Spices,27,83
224,Smartphone Hand Grip,Accessories,3,44
225,Peanut Butter Chocolate Clusters,Food - Desserts,42,57
226,Smoked Paprika,Food - Spices,59,26
227,Adjustable Resistance Bands,Fitness,63,90
228,Thai Peanut Dressing,Food - Condiments,15,51
229,Beef Stew Meat,Food - Meat,28,17
230,Buffalo Chicken Dip,Food - Dips,53,91
231,Reclining Camping Chair,Outdoor,81,21
232,Organic Coconut Water,Food - Beverages,4,72
233,Kids' Outdoor Explorer Kit,Toys,8,72
234,Laundry Detergent,Food - Household,59,88
235,Pesto Pasta Sauce,Food - Sauces,31,37
236,Yoga Wheel,Fitness,33,73
237,Organic Coconut Sugar,Food - Baking Goods,9,96
238,Pet Camera with Treat Dispenser,Pets,97,51
239,Creamy Spinach Dip,Food - Prepared Foods,37,72
240,Butternut Squash Ravioli,Food - Frozen Foods,9,68
241,Sea Salt Caramel Popcorn,Food - Snacks,33,16
242,Cold Brew Coffee Concentrate,Food - Beverages,100,100
243,Hand Crank Blender,Kitchen,60,24
244,Baby Monitor,Baby,55,44
245,Safety Goggles,Safety,57,10
246,Garden Tool Set with Carrying Bag,Garden,74,54
247,Fleece Throw Blanket,Home,16,55
248,Breezy Off-The-Shoulder Top,Clothing - Tops,51,56
249,Repair Tool Set for Home Improvement,Tools,7,7
250,Cream Cheese,Food - Dairy,5,93
251,Shoe Organizer,Home,95,24
252,Wildflower Honey,Food - Condiments,80,1
253,Spicy Hummus,Food - Deli,44,29
254,Silicone Baking Mat,Kitchen,86,79
255,Samsung Galaxy Smartwatch,Wearable Tech,43,39
256,Chocolate Chip Muffins,Food - Bakery,53,32
257,Herb Garden Planter Box,Garden,89,72
258,Pet Carrier Backpack,Pets,45,19
259,Magnetic Screen Door,Outdoor,39,30
260,Men's Waterproof Hiking Boots,Footwear,64,8
261,Dish Soap Dispenser,Kitchen,88,19
262,Chic Ankle Strap Heels,Clothing - Shoes,89,76
263,Frozen Fruit Medley,Food - Frozen Foods,23,16
264,Blue Denim Jeans,Clothing - Bottoms,41,58
265,Pineapple Coconut Yogurt,Food - Dairy,83,79
266,Spicy Thai Chili Sauce,Food - Sauces,20,97
267,Wall-Mounted Spice Rack,Kitchen,52,32
268,Over-The-Door Shoe Organizer,Home,16,100
269,Aeropress Coffee Maker,Kitchen,15,96
270,Portable Phone Charger,Accessories,66,16
271,Mushroom Soup (canned),Food - Canned Goods,71,18
272,Luminous Night Light,Home,27,73
273,Pet First Aid Kit,Pets,43,29
274,Nutritional Yeast,Food - Pantry,32,74
275,Vegetable Fried Rice,Food - Frozen Foods,18,95
276,Dark Chocolate Raisins,Food - Snacks,95,10
277,Photo Album,Home,49,5
278,LED Strip Lights with Remote Control,Home,92,85
279,Oven-Baked Cheese Crisps,Food - Snacks,44,90
280,Portable Solar Generator,Outdoor,60,33
281,Saffron Rice Mix,Food - Grains,23,93
282,Digital Stopwatch Timer,Fitness,37,43
283,Black Bean & Corn Salad,Food - Salads,42,60
284,Stainless Steel Water Bottle,Fitness,4,34
285,Quinoa and Kale Salad Kit,Food - Salads,31,84
286,High-Pressure Handheld Shower Head,Bathroom,65,39
287,Brown Rice,Food - Grains,86,7
288,Whole Wheat Bread,Food - Bakery,41,24
289,Garlic Parmesan Roasted Nuts,Food - Nuts,42,96
290,Compressed Towel Tablets,Travel,24,38
291,USB Flash Drive,Storage,35,99
292,Sweet Cherry Tomatoes,Food - Produce,72,75
293,Oven-Baked Cheese Crisps,Food - Snacks,58,28
294,Wireless Charger Stand,Electronics,74,69
295,Repair Tool Set for Home Improvement,Tools,65,30
296,Wall-Mounted Bookshelf,Home,100,4
297,Andouille Sausage,Food - Meat,25,8
298,Set of Measuring Spoons,Kitchen,35,96
299,Granola Cereal,Food - Breakfast,66,57
300,Manual Coffee Grinder,Kitchen,25,53
301,Hand Mixer,Kitchen,21,31
302,Jalapeño Cornbread,Food - Bakery,48,8
303,Magnetic Chess Set,Toys,91,66
304,Protein Pancake Mix,Food - Breakfast,60,75
305,Smart Fitness Scale,Fitness,94,70
306,Couscous,Food - Grains,58,27
307,Almond Butter Cups,Food - Snacks,88,82
308,Jennifer's Amazing Lip Balm Kit,Beauty,42,34
309,Puzzle 3D Model Kit,Toys,3,63
310,Pesto Pasta Salad,Food - Prepared Foods,59,20
311,First Aid Kit,Health,16,50
312,Cabbage,Food - Produce,32,28
313,Dark Chocolate Covered Pretzels,Food - Snacks,73,14
314,Wireless Gaming Headset,Gaming,15,80
315,Travel Jewelry Organizer,Accessories,95,71
316,Fitness Resistance Bands,Fitness,91,93
317,Plaid Flannel Shirt,Clothing - Tops,20,94
318,Wall-Mounted Wine Rack,Home,40,21
319,Fruit and Nut Medley,Food - Snacks,33,92
320,Dark Chocolate Covered Raisins,Food - Snacks,8,28
321,Lemon Basil Pasta Sauce,Food - Sauces,38,12
322,Puzzle 3D Model Kit,Toys,46,39
323,Karaoke Microphone,Music,83,32
324,Chocolate Mint Cookies,Food - Baking,63,29
325,Vegan Caesar Dressing,Food - Condiments,85,64
326,Smart Thermostat with Wi-Fi,Smart Home,72,41
327,Cinnamon Roll Protein Bar,Food - Snacks,19,53
328,Vegetable Curry,Food - Frozen Foods,29,82
329,Pepperoni Pizza Rolls,Food - Snacks,39,58
330,Wire Shelving Unit,Home,9,48
331,Chicken Broth,Food - Canned Goods,19,54
332,Shatterproof Wine Glasses,Outdoor,63,12
333,Weighted Blanket,Health,17,94
334,Cauliflower Rice Stir-Fry,Food - Frozen Foods,41,42
335,Kale and Quinoa Salad,Food - Salads,22,92
336,Spiralizer,Kitchen,85,71
337,Black Bean Spaghetti,Food - Pasta,71,83
338,Pear and Gorgonzola Salad,Food - Salads,93,96
339,Corn Tortillas,Food - Bakery,52,43
340,Pet Grooming Glove,Pets,68,41
341,Spinach and Feta Wraps,Food - Prepared Foods,96,39
342,Chili Beans (canned),Food - Canned Goods,66,41
343,Deep Tissue Massage Gun,Health,39,85
344,Maple Almond Granola,Food - Breakfast,70,25
345,Classic Caesar Salad Kit,Food - Salads,8,46
346,Heavy Duty Gardening Tool Set,Garden,44,48
347,Mediterranean Chickpea Bowl,Food - Prepared Foods,95,59
348,Vegan Mayonnaise,Food - Condiments,35,92
349,Party Mini Dress,Clothing - Dresses,66,53
350,Oven-Baked Parmesan Zucchini,Food - Frozen Vegetables,61,28
351,Maple Pecan Oatmeal Cookies,Food - Bakery,3,52
352,Overnight Hiking Backpack,Outdoor,78,58
353,Luxury Bath Robe,Clothing,2,33
354,Video Camera,Electronics,78,30
355,Travel Pillow with Memory Foam,Travel,7,25
356,Frozen Chicken Nuggets,Food - Frozen Foods,74,4
357,Thermostatic Shower Valve Kit,Bathroom,18,35
358,Pet Travel Bowl,Pets,2,7
359,Wireless Gaming Mouse,Gaming,39,55
360,Mini Indoor Hydroponic Garden,Garden,42,18
361,Oven-Baked Cheese Crisps,Food - Snacks,89,37
362,Mechanical Pencil Set,Office,98,33
363,Nordic Berry Smoothie,Food - Frozen Foods,26,48
364,High-Quality Yoga Mat,Fitness,57,38
365,Pork Chops,Food - Meat,28,30
366,Bicycle Repair Kit,Outdoor,55,9
367,Cheese Stuffed Jalapenos,Food - Snacks,58,56
368,Smartphone Tripod with Bluetooth Remote,Photography,82,59
369,Electric Hot Water Dispenser,Kitchen,81,24
370,Maple Pecan Oatmeal Cookies,Food - Bakery,89,79
371,Chino Shorts,Clothing - Bottoms,50,79
372,Board Game,Toys,71,33
373,Portable Blender,Kitchen,40,52
374,High-Speed Hand Blender,Kitchen,19,52
375,Tuscan Bean Soup,Food - Canned Goods,41,62
376,Chickpea Flour,Food - Baking,84,72
377,Brazil Nuts,Food - Nuts,8,13
378,Mechanical Pencil Set,Office,72,72
379,Non-Toxic Crayons for Kids,Toys,22,45
380,Granola Cereal,Food - Breakfast,1,47
381,Magnetic Chess Set,Toys,21,66
382,Electric Can Opener,Kitchen,25,8
383,Nut Butter Cups,Food - Snacks,20,88
384,Wild Rice & Quinoa Mix,Food - Grains,35,16
385,Chocolate Mint Thins,Food - Snacks,87,92
386,Fresh Cilantro,Food - Produce,59,8
387,Rain Jacket,Clothing,80,28
388,Travel Laundry Bag,Travel,36,96
389,Caramel Apple Taffy,Food - Confectionery,74,53
390,Mediterranean Flatbread,Food - Bakery,55,80
391,Cinnamon Sugar Donuts,Food - Bakery,69,70
392,Craft Beer Mustard,Food - Condiments,73,91
393,Essential Oils Diffuser Necklace,Health,59,5
394,Pet Food Storage Container,Pets,6,10
395,Tandoori Chicken Skewers,Food - Meat,95,15
396,Chicken Breasts,Food - Meat,20,85
397,Apple Sauce,Food - Canned Goods,43,57
398,Dog Training Clicker,Pets,70,76
399,Lemon Garlic Marinade,Food - Condiments,41,48
400,Pineapple Rings,Food - Canned Goods,11,65
401,Taro Chips,Food - Snacks,30,13
402,Artisan Cornbread Mix,Food - Baking,11,59
403,Smartphone Tripod,Photography,39,84
404,Crew Neck Sweater,Clothing - Sweaters,100,28
405,Handheld Shower Head,Bathroom,70,60
406,Zucchini,Food - Produce,52,13
407,Tomato Paste,Food - Canned Goods,34,24
408,Comfy Slippers,Footwear,27,11
409,Wireless Music Receiver,Audio,62,23
410,BBQ Sauce,Food - Condiments,14,58
411,Italian Sausage and Peppers,Food - Meat,62,37
412,Lentil Vegetable Curry,Food - Prepared Meals,47,55
413,Mushroom Soup (canned),Food - Canned Goods,19,89
414,Cauliflower Rice Stir-Fry,Food - Frozen Foods,58,88
415,Buffalo Cauliflower Wings,Food - Frozen Foods,36,48
416,Banana Chips,Food - Snacks,95,100
417,Outdoor Inflatable Pool,Outdoor,40,69
418,Miso Soup Starter,Food - Soups,30,6
419,Sustainable Wooden Toys,Toys,55,39
420,Oven-Baked Sweet Potato Fries,Food - Frozen Foods,89,71
421,Tomato Paste,Food - Canned Goods,17,51
422,Electric Rice Cooker with Steamer,Kitchen,54,7
423,Oven Thermometer,Kitchen,80,66
424,Travel Yoga Mat,Fitness,22,71
425,Creamy Coleslaw Mix,Food - Produce,57,19
426,Peach Fruit Cups,Food - Snacks,35,40
427,Travel Size Toiletry Bottles,Travel,3,43
428,Indestructible Dog Toy,Pets,41,48
429,LED Under Cabinet Lighting,Home,85,68
430,Savory Rice Cakes,Food - Snacks,14,40
431,Magic Color-Changing Mug,Kitchen,56,11
432,Chili Lime Seasoning,Food - Spices,92,50
433,Honey Roasted Peanuts,Food - Snacks,69,50
434,Bike Repair Tool Kit,Outdoor,52,48
435,Sweet Potato Chips,Food - Snacks,26,72
436,Smart Water Bottle,Fitness,57,49
437,Tuscan Bean Soup,Food - Canned Goods,88,84
438,Cheddar Cheese Slices,Food - Dairy,67,75
439,Caramelized Onion Dip,Food - Dairy,55,3
440,LED Canopy Lights,Outdoor,65,77
441,Brazil Nuts,Food - Nuts,75,16
442,Peanut Butter Chocolate Clusters,Food - Desserts,84,91
443,Elderberry Syrup Kit,Health,76,46
444,Chipotle Seasoning Blend,Food - Spices,53,8
445,Sun Protection Clothing,Clothing,20,8
446,Caramel Apple Taffy,Food - Confectionery,46,49
447,Almond Coconut Granola,Food - Breakfast Foods,51,1
448,Smart Plug,Smart Home,29,39
449,Plant Watering Spikes,Garden,4,45
450,Field Journal,Books,68,30
451,Folding Backpack Chair,Outdoor,24,69
452,Teriyaki Beef Jerky,Food - Snacks,1,33
453,Vanilla Almond Granola,Food - Breakfast,46,77
454,Pasta Primavera Kit,Food - Meal Kits,27,17
455,Smart Wi-Fi Camera,Smart Home,39,36
456,Pest Control Traps,Home,89,1
457,Dark Chocolate Raisins,Food - Snacks,53,26
458,BBQ Lentil Chips,Food - Snacks,58,72
459,Coloring Books for Adults,Books,22,90
460,Almond Milk,Food - Dairy,62,30
461,Vanilla Pudding Mix,Food - Baking,79,65
462,Portable Bluetooth Speaker,Audio,85,57
463,Peach Yogurt,Food - Dairy,17,12
464,Rainbow Veggie Chips,Food - Snacks,49,49
465,Safety First Aid Kit,Health,78,100
466,Lentil Pasta,Food - Pasta,51,69
467,Infrared Thermometer,Health,17,4
468,Basmati Rice,Food - Grains,28,73
469,Handmade Soap Making Kit,Crafts,87,63
470,Luminous Night Light,Home,23,48
471,Coconut Milk,Food - Canned Goods,21,30
472,Trail Mix (Deluxe),Food - Snacks,50,42
473,Car Windshield Sun Shade,Automotive,69,26
474,Apple Cinnamon Oatmeal,Food - Breakfast,100,87
475,Vegan Chickpea Salad,Food - Prepared Foods,97,65
476,Fitness Tracker Band,Fitness,97,34
477,Zucchini Noodle Pasta,Food - Vegetables,56,57
478,Roasted Garlic Pasta Sauce,Food - Sauces,91,15
479,Kids' STEM Robotics Kit,Toys,23,21
480,Pest Control Traps,Home,66,11
481,Frozen Spinach,Food - Frozen Foods,46,26
482,Frozen Salmon Filets,Food - Seafood,83,43
483,Low-Fat Yogurt,Food - Dairy,5,11
484,Pretzel Bites,Food - Snacks,8,3
485,Gluten-Free Biscuits,Food - Baking,39,80
486,Roasted Red Pepper Hummus,Food - Dips,29,75
487,Measuring Cups Set,Kitchen,41,69
488,Lentil Soup (canned),Food - Canned Goods,26,68
489,Customizable Wall Calendar,Office,78,7
490,Fashionable Scarves Set,Clothing,60,55
491,Coloring Books for Adults,Books,60,4
492,Camping Chair with Cooler,Outdoor,56,66
493,Relaxed Fit Henley Shirt,Clothing - Tops,72,77
494,Portable Hammock,Outdoor,7,90
495,Frozen Spinach,Food - Frozen Foods,9,51
496,Comfort Flats,Clothing - Shoes,91,26
497,Floral Wrap Top,Clothing - Tops,52,37
498,Compact Refrigerator,Home Appliances,28,95
499,Sesame Oil,Food - Oils & Vinegars,22,3
